,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
286,Maren Guddal,https://www.lens.org/lens/orcid/0000-0002-2452-6918/scholar,3,100%,3,111,0,"['Medicine , Epidemiology , Peer review , Physical activity level , Population , Adverse effect , Chronic pain , Clinical psychology , Cross-sectional study , Gerontology']","Communication and Research Unit for Musculoskeletal Disorders, Oslo University Hospital"
287,Pablo Perez-Pinera,https://www.lens.org/lens/orcid/0000-0002-9167-0004/scholar,67,74%,35,"4,383",755,"['Biology , Computational biology , Cell biology , Genetics , CRISPR , Cancer research , Genome editing , Pleiotrophin , Cas9 , Endocrinology']",University of Illinois at Urbana-Champaign
288,Michael P,https://www.lens.org/lens/orcid/0000-0002-2790-1250/scholar,1,100%,1,1,0,"['Artificial intelligence , Computer science , Dynamical systems theory , Electrical engineering , Engineering , Metamaterial , Multistability , Nonlinear system , Operating system , Optoelectronics']",Technion – Israel Institute of Technology
289,Scott Winter,https://www.lens.org/lens/orcid/0000-0002-9065-351X/scholar,17,63%,4,57,0,"['Engineering , Business , Psychology , Aerospace engineering , Perception , Aeronautics , Applied psychology , Aviation , Law , Political science']",no current information
290,Alexandre Pelé,https://www.lens.org/lens/orcid/0000-0002-1934-0780/scholar,8,100%,6,164,0,"['Biology , Genetics , Meiosis , Allele , Gene , Homologous recombination , Ploidy , Polyploid , Population , Chromosome']",Adam Mickiewicz University
291,Ali Kandil,https://www.lens.org/lens/orcid/0000-0002-7961-6662/scholar,4,-,4,85,0,"['Mathematics , Pure mathematics , Topological space , Algebra , Class (set theory) , Compact space , Computer science , Discrete mathematics , Fuzzy set , Fuzzy topology']",Helwan University Faculty of Science
292,Charl,https://www.lens.org/lens/orcid/0000-0002-2501-4797/scholar,2,100%,1,9,0,"['Cardiology , Internal medicine , Medicine , Ablation , Atrial fibrillation , Balloon , Cardiomyopathy , Catheter ablation , Confidence interval , Ejection fraction']",no current information
293,Dorota Klejn,https://www.lens.org/lens/orcid/0000-0002-1736-4535/scholar,4,-,3,25,0,"[""Chromatography , Ethylene glycol dimethacrylate , Molecularly imprinted polymer , Monomer , Bovine serum albumin , Chemistry , Materials science , Polymer , Solid phase extraction , 3,3'-Diindolylmethane""]",no current information
294,Guoping Zhao,https://www.lens.org/lens/orcid/0000-0002-5577-2329/scholar,15,69%,8,170,0,"['Pharmacology , Medicine , Chemistry , Biochemistry , Internal medicine , Endocrinology , Enos , TRPM8 , Anesthesia , Neuropathic pain']",no current information
295,YingJin Kang,https://www.lens.org/lens/orcid/0000-0001-5880-814X/scholar,3,33%,3,86,29,"['Biochemistry , Chemistry , In vivo , Biology , Cancer stem cell , Cell adhesion , Cell signaling , Conjugate , Cytoplasm , Drug delivery']",no current information
296,Zexiong Xie,https://www.lens.org/lens/orcid/0000-0002-6214-9009/scholar,11,64%,7,614,0,"['Genome , Biology , Genetics , Gene , Computational biology , Saccharomyces cerevisiae , Chromosome , Copy-number variation , Ploidy , Yeast']",no current information
297,Bingzhi Li,https://www.lens.org/lens/orcid/0000-0001-6074-1079/scholar,6,83%,4,683,0,"['Physics , Larmor precession , Muon , Nuclear physics , Fermilab , Magnetic field , Anomalous magnetic dipole moment , Fermi Gamma-ray Space Telescope , Omega , Storage ring']",Zhejiang Lab
298,Margaret Graham,https://www.lens.org/lens/orcid/0000-0003-3253-4931/scholar,1,-,-,0,0,"['Geography , Political science']",University of Rochester
299,Trevor Johannes Smith,https://www.lens.org/lens/orcid/0000-0002-1476-2976/scholar,1,100%,1,1,0,"['Current density , Dielectric , Electric power transmission , Electrode , FOIL method , Laser , Materials science , Optics , Planar , Plasma']",Sandia National Laboratories
300,Alan Munn,https://www.lens.org/lens/orcid/0000-0003-0265-9119/scholar,0,-,-,0,0,[''],no current information
301,Patrick Knox,https://www.lens.org/lens/orcid/0000-0002-2669-4130/scholar,7,71%,2,7,0,"['Medicine , Low back pain , Physical medicine and rehabilitation , Physical therapy , Internal medicine , Alternative medicine , Chronic pain , Pathology , Prospective cohort study , Environmental health']",no current information
302,Jane Oliver,https://www.lens.org/lens/orcid/0000-0001-5548-7512/scholar,20,89%,8,378,5,"['Medicine , Internal medicine , Biology , Rheumatic fever , Disease , Family medicine , Genetics , Heart disease , Pediatrics , Acute rheumatic fever']",Murdoch Childrens Research Institute
303,Elizabeth Newton,https://www.lens.org/lens/orcid/0000-0003-2874-7571/scholar,1,-,1,34,0,"['Customer satisfaction , Family medicine , Health care , Medicine , Occupational therapy , Patient satisfaction , Rehabilitation , Rural area , Telehealth , Telemedicine']","Occupational Therapy, OTD"
304,Zhang Chenyu,https://www.lens.org/lens/orcid/0000-0002-0651-8471/scholar,1,-,1,2,0,"['Acceleration , Building information modeling , Chemical engineering , Civil engineering , Classical mechanics , Compatibility (geochemistry) , Computer science , Engineering , Frame (networking) , Physics']",no current information
305,Shoubin Zhan,https://www.lens.org/lens/orcid/0000-0002-4528-9579/scholar,8,88%,5,137,0,"['Biology , Cancer research , Medicine , Genetics , Internal medicine , Cancer , Immunology , microRNA , Biochemistry , Cancer stem cell']",no current information
306,Shengkai Yu,https://www.lens.org/lens/orcid/0000-0002-6611-4508/scholar,93,40%,17,832,13,"['Materials science , Slider , Air bearing , Flying height , Mechanics , Lubricant , Acoustics , Composite material , Thermal , Heat transfer']",National Metrology Centre
307,Jia-Bin Li,https://www.lens.org/lens/orcid/0000-0002-3621-9931/scholar,8,33%,5,63,0,"['Materials science , Composite material , Condensed matter physics , Piezoelectricity , Molecular dynamics , Optoelectronics , Phosphorene , Active cooling , Actuator , Anharmonicity']",no current information
308,Liu Chen,https://www.lens.org/lens/orcid/0000-0003-2558-9029/scholar,2,100%,1,2,0,"['Computer science , Accounting , Art , Business , Critical path method , Degree (graph theory) , Duration (music) , Engineering , Finance , Fuzzy number']",no current information
309,Zijie Zhuang,https://www.lens.org/lens/orcid/0000-0003-2132-4197/scholar,3,50%,2,50,0,"['Artificial intelligence , Computer science , Computer vision , Amplifier , Bandwidth (computing) , Convolutional neural network , Discriminative model , Distortion (music) , Feature extraction , Focus (optics)']",Huawei Technologies
310,Andrea Burgo,https://www.lens.org/lens/orcid/0000-0002-0270-5448/scholar,16,88%,13,674,7,"['Cell biology , Biology , Chemistry , Microtubule , Exocytosis , Biochemistry , Tubulin , Vesicle , Acetylation , Actin']",Université d'Evry-Val-d'Essonne
311,Oleksandra Zavgorodnya,https://www.lens.org/lens/orcid/0000-0001-8296-6340/scholar,16,50%,14,718,4,"['Materials science , Chemical engineering , Methacrylic acid , Polymer chemistry , Self-healing hydrogels , Chemistry , Polymer , Ionic liquid , Chitin , Hydrogen bond']",no current information
312,"J. L. Shamshina, J. Shamshina, Yu. L. Shamshina, Y. Shamshina",https://www.lens.org/lens/orcid/0000-0003-0708-764X/scholar,124,78%,34,"3,671",81,"['Chemistry , Ionic liquid , Organic chemistry , Chemical engineering , Materials science , Chitin , Catalysis , Engineering , Inorganic chemistry , Aqueous solution']",Texas Tech University
313,Gabriela Gurau,https://www.lens.org/lens/orcid/0000-0001-8327-1364/scholar,1,100%,1,10,0,"['Acinetobacter baumannii , Antibiotic resistance , Antibiotics , Enterococcus faecium , Klebsiella pneumoniae , Medicine , Microbiology , Multiple drug resistance , Pseudomonas aeruginosa , Staphylococcus aureus']",no current information
314,liu zhu,https://www.lens.org/lens/orcid/0000-0002-9582-4541/scholar,1,-,-,0,0,"['Biology , Biotechnology , Botany , Candidate gene , Computational biology , Drought stress , Ecology , Gene , Genetics , Identification (biology)']",
315,Xiang Ma,https://www.lens.org/lens/orcid/0000-0003-4534-2605/scholar,1,100%,1,3,0,"['Andrology , Apoptosis , Chemistry , Polysaccharide , Retina , Retinal , Retinal Photoreceptor Cells , Retinitis pigmentosa , Semen , Water soluble']",no current information
316,Yanqiong Zhang,https://www.lens.org/lens/orcid/0000-0002-8616-5409/scholar,1,100%,-,0,0,"['Astronomy , Constraint (information theory) , Ejecta , Galactic Center , Gravitation , Gravitational potential , Milky Way , Physics , Stars']",
317,Lin-Min Yang,https://www.lens.org/lens/orcid/0000-0002-4030-4143/scholar,1,-,1,5,0,"['Medicine , Orthopedic surgery , Osteoarthritis , Radiography , Release procedure , Single surgeon , Surgery , Synovitis , Visual analogue scale']",no current information
318,Li-Li Li,https://www.lens.org/lens/orcid/0000-0003-1464-8716/scholar,1,-,1,3,0,"['Chemistry , Chromatography , Electrospray ionization , Furocoumarin , Furocoumarins , Hydroxylation , Ion trap , Mass spectrometry , Metabolite , Time-of-flight mass spectrometry']",no current information
319,xifeng wang,https://www.lens.org/lens/orcid/0000-0002-9739-0011/scholar,2,100%,2,29,0,"['Altimeter , Geodesy , Geology , Radar altimeter , Buoy , Correlation coefficient , Geometric mean , Noise (radio) , Ocean surface topography , Remote sensing']",no current information
320,Guanghe Li,https://www.lens.org/lens/orcid/0000-0003-1328-4252/scholar,44,70%,21,"1,362",26,"['Chemistry , Environmental chemistry , Biology , Bioremediation , Contamination , Soil contamination , Biodegradation , Microbial population biology , Bacteria , Bioreporter']",no current information
321,Yuqin Wan,https://www.lens.org/lens/orcid/0000-0001-5536-1696/scholar,43,59%,20,"1,467",2,"['Materials science , Electrospinning , Composite material , Nanofiber , Chemical engineering , Jet (fluid) , Membrane , Nanotechnology , Polyacrylonitrile , Polymer']",University of British Columbia
322,Simon Gathercole,https://www.lens.org/lens/orcid/0000-0001-7618-0309/scholar,25,11%,7,149,0,"['Philosophy , Theology , Gospel , New Testament , Literature , History , Art , Classics , Religious studies , Art history']",University of Cambridge
323,Ryan McGee,https://www.lens.org/lens/orcid/0000-0001-8760-4584/scholar,5,40%,3,54,0,"['Materials science , Optoelectronics , Fabrication , Phase transition , Amorphous solid , Analytical chemistry , Atomic physics , Chemical engineering , Chemical stability , Condensed matter physics']",no current information
324,Bryan C. Tyner,https://www.lens.org/lens/orcid/0000-0002-9553-7534/scholar,1,100%,1,6,0,"['Antecedent (behavioral psychology) , Applied behavior analysis , Cognitive psychology , Computer-based instruction , Contingency , Elementary cognitive task , Psychological intervention , Psychology , Social psychology , Task (project management)']",no current information
325,Jinyue Pu,https://www.lens.org/lens/orcid/0000-0002-2314-7190/scholar,15,40%,11,311,26,"['Chemistry , Biochemistry , Biosynthesis , Biology , Computational biology , RNA , Biosensor , Gene , Nonribosomal peptide , Stereochemistry']",no current information
326,Julia Zinkus-Boltz,https://www.lens.org/lens/orcid/0000-0003-0028-5360/scholar,4,-,3,119,23,"['Computational biology , Biosensor , Computer science , Genetics , Mutation , RNA polymerase , Selection (genetic algorithm) , Synthetic biology , Biochemical engineering , Biological engineering']",no current information
327,krishnakumar,https://www.lens.org/lens/orcid/0000-0001-6123-2110/scholar,4,100%,3,82,0,"['Environmental chemistry , Environmental engineering , Environmental science , Pollution , Sediment , Brackish water , Contamination , Context (language use) , Dew , Effluent']",Rathinam Technical Campus
328,John I. Glass,https://www.lens.org/lens/orcid/0000-0002-3784-5301/scholar,117,61%,38,"11,794",761,"['Biology , Genetics , Gene , Genome , Computational biology , Microbiology , Biochemistry , Computer science , DNA , Mycoplasma mycoides']",J Craig Venter Institute
329,Evan Merryman,https://www.lens.org/lens/orcid/0000-0002-9527-4842/scholar,1,-,-,0,0,"['Emergency department , Medical emergency , Psychology']",no current information
330,Anatoliy Persikov,https://www.lens.org/lens/orcid/0000-0002-8744-7619/scholar,5,-,2,34,0,"['Routing (electronic design automation) , Computer science , Computer network , Compromise , Disjoint sets , Mathematical optimization , Multipath routing , Backup , Communications protocol , Confidentiality']",no current information
331,Dimitar Ouzounov,https://www.lens.org/lens/orcid/0000-0002-6392-2307/scholar,34,97%,11,"1,649",5,"['Geology , Seismology , Ionosphere , Atmosphere , Environmental science , Geophysics , Meteorology , Remote sensing , Thermal , Ionization']",Chapman University
332,Yandu Lu (路延笃),https://www.lens.org/lens/orcid/0000-0002-0136-2252/scholar,41,88%,18,"1,420",29,"['Biology , Biochemistry , Chemistry , Gene , Nannochloropsis , Botany , Genetics , Mutant , Biofuel , Biomass']",Hainan University
333,Wenxu Zhou,https://www.lens.org/lens/orcid/0000-0003-0487-1818/scholar,8,100%,4,315,6,"['Biology , Sterol , Botany , Gene , Biochemistry , Chemistry , Cholesterol , Dinoflagellate , Functional genomics , Genome']",no current information
334,Qinhua Gan,https://www.lens.org/lens/orcid/0000-0002-7164-5135/scholar,15,86%,9,336,13,"['Biology , Biochemistry , Gene , Function (biology) , Botany , Chemistry , Computational biology , Functional genomics , Genome , Genomics']",no current information
335,Victoia Firsova,https://www.lens.org/lens/orcid/0000-0002-9106-0951/scholar,16,25%,100%,,2,"['Medicine , Acute pancreatitis , General surgery , Surgery , Abdominal surgery , Cholecystectomy , Internal medicine , Pancreatitis , Abdominal cavity , Antibiotic prophylaxis']",ГБУЗ НО «Городская больница №35»
336,Alexey Semiletov,https://www.lens.org/lens/orcid/0000-0003-1665-6496/scholar,9,67%,1,10,0,"['Alloy , Materials science , Metallurgy , Aluminium , Corrosion , Chemical engineering , Chemistry , Composite material , Engineering , Organic chemistry']",Frumkin Institute of Physical chemistry and Electrochemistry Russian academy of sciences (IPCE RAS)
337,A. Venimadhav,https://www.lens.org/lens/orcid/0000-0001-8792-6356/scholar,111,69%,27,"2,195",8,"['Materials science , Condensed matter physics , Magnetization , Ferromagnetism , Dielectric , Antiferromagnetism , Chemical engineering , Magnetic field , Chemistry , Crystallite']",Indian Institute of Technology Kharagpur
